Date,Mkt-RF,SMB,HML,RF
2020-08-21,0.26,-1.09,-0.43,0.0
2020-08-24,0.92,-0.37,2.59,0.0
2020-08-25,0.36,0.16,-0.64,0.0
2020-08-26,1.0,-1.17,-1.74,0.0
2020-08-27,0.18,-0.34,0.95,0.0
2020-08-28,0.7,0.27,-0.23,0.0
2020-08-31,-0.04,-0.42,-1.76,0.0
2020-09-01,0.92,0.44,-0.3,0.0
2020-09-02,1.27,-0.49,-0.45,0.0
2020-09-03,-3.7,-0.23,2.61,0.0
2020-09-04,-0.87,-0.17,2.06,0.0
2020-09-08,-2.91,0.66,-0.29,0.0
2020-09-09,2.07,-0.18,-2.0,0.0
2020-09-10,-1.64,0.3,-0.06,0.0
2020-09-11,-0.06,-0.84,0.89,0.0
2020-09-14,1.59,1.19,-0.8,0.0
2020-09-15,0.57,-0.27,-1.44,0.0
2020-09-16,-0.39,0.76,1.31,0.0
2020-09-17,-0.85,0.36,0.2,0.0
2020-09-18,-0.88,0.79,-0.21,0.0
2020-09-21,-1.08,-2.03,-1.89,0.0
2020-09-22,1.02,-0.14,-1.63,0.0
2020-09-23,-2.48,-0.71,0.16,0.0
2020-09-24,0.25,-0.21,0.38,0.0
2020-09-25,1.72,0.14,-1.35,0.0
2020-09-28,1.66,0.73,1.05,0.0
2020-09-29,-0.42,0.76,-1.34,0.0
2020-09-30,0.79,-0.73,0.15,0.0
2020-10-01,0.79,1.04,-0.54,0.0
2020-10-02,-0.96,1.09,2.45,0.0
2020-10-05,1.93,1.02,-0.1,0.0
2020-10-06,-1.28,0.74,0.26,0.0
2020-10-07,1.84,0.53,0.22,0.0
2020-10-08,0.8,0.03,0.99,0.0
2020-10-09,0.93,0.01,-1.41,0.0
2020-10-12,1.53,-0.83,-0.08,0.0
2020-10-13,-0.41,0.17,-1.73,0.0
2020-10-14,-0.65,0.09,0.02,0.0
2020-10-15,-0.08,0.9,1.15,0.0
2020-10-16,-0.06,-0.18,0.06,0.0
2020-10-19,-1.53,0.35,0.31,0.0
2020-10-20,0.34,-0.24,1.26,0.0
2020-10-21,-0.36,-0.47,0.41,0.0
2020-10-22,0.67,0.61,1.03,0.0
2020-10-23,0.38,0.41,0.03,0.0
2020-10-26,-1.85,-0.28,-0.39,0.0
2020-10-27,-0.23,-0.07,-2.33,0.0
2020-10-28,-3.41,0.01,0.58,0.0
