Date,AAPL_ma50,AMT_ma50,AMZN_ma50,BA_ma50,BAC_ma50,BHP_ma50,COR_ma50,CVX_ma50,DUK_ma50,DVA_ma50,ECL_ma50,GE_ma50,GOOGL_ma50,JPM_ma50,KO_ma50,LLY_ma50,META_ma50,MMM_ma50,MSFT_ma50,NEE_ma50,NKE_ma50,NVDA_ma50,PEP_ma50,PG_ma50,PLD_ma50,RIO_ma50,SBUX_ma50,SLB_ma50,SO_ma50,SPG_ma50,VZ_ma50,WFC_ma50,XOM_ma50
2020-06-08,71.45198608398438,220.22074005126953,115.38977035522461,142.62440032958983,20.922561912536622,32.32254451751709,84.9429214477539,73.73034301757812,71.90136779785156,77.6115998840332,180.23090606689453,41.37416595458984,65.49709991455079,83.59406433105468,40.61032569885254,143.70607315063478,198.20650115966797,124.23101745605469,169.41325042724608,54.12423927307129,86.18266418457031,76.05528396606445,117.45672668457031,105.47607666015625,79.21318008422851,34.262199325561525,68.75673599243164,15.48970043182373,47.61957412719727,47.1486580657959,45.635387649536135,24.94754528045654,35.99759208679199
2020-06-09,71.92588981628418,221.0984194946289,116.09053039550781,143.71920043945312,21.04593978881836,32.58187438964844,85.29570449829102,74.30271072387696,72.0910711669922,77.83979995727539,181.55591247558593,41.42340637207031,65.83891983032227,83.95849838256837,40.719672775268556,144.00372680664063,199.84236572265624,124.82025161743164,170.1969644165039,54.25249771118164,86.55987823486328,76.59983291625977,117.69860473632812,105.63833862304688,79.54246520996094,34.462955436706544,69.06054817199707,15.654686679840088,47.68834403991699,47.5968588256836,45.72728485107422,25.001887588500978,36.28476623535156
2020-06-10,72.40859077453614,221.7489859008789,116.77403030395507,144.74180053710938,21.131829109191894,32.82131557464599,85.47259017944336,74.7550904083252,72.22308059692382,77.96959991455078,182.7905825805664,41.38893821716309,66.15730987548828,84.2006803894043,40.783620529174804,144.2549722290039,201.25646545410157,125.28651885986328,170.9137368774414,54.30806907653809,86.88602081298828,77.14426208496094,117.87169952392578,105.72934982299805,79.78779708862305,34.656349639892575,69.27413146972657,15.799649772644043,47.72076301574707,48.02035331726074,45.79009605407715,25.008987808227538,36.51525409698486
2020-06-11,72.81099586486816,222.3803662109375,117.3822703552246,145.1590005493164,21.18371723175049,33.00746120452881,85.57640151977539,75.05969146728516,72.34548446655273,78.04739990234376,183.68457397460938,41.267068481445314,66.3972599029541,84.34586380004883,40.8064087677002,144.36929077148437,202.40784362792968,125.57819396972656,171.4746585083008,54.34943771362305,87.12911804199219,77.58483688354492,118.02766845703125,105.85676803588868,79.97891296386719,34.79778511047363,69.40747917175293,15.895012798309326,47.76511627197266,48.290540618896486,45.843621520996095,24.98435676574707,36.66375919342041
2020-06-12,73.29282859802247,223.3269305419922,118.01959030151367,146.33520050048827,21.277521514892577,33.227169036865234,85.74911102294922,75.48070892333985,72.5181967163086,78.16039993286132,184.7823977661133,41.29291976928711,66.70807998657227,84.63919921875,40.87520164489746,144.51688171386718,203.7859814453125,125.96861907958984,172.17203735351563,54.486332931518554,87.46381607055665,78.15488998413086,118.23988204956055,105.98465270996094,80.3633204650879,34.9865072631836,69.66885925292969,16.016194610595704,47.87872917175293,48.74887725830078,45.91147880554199,25.019857063293458,36.83589977264404
2020-06-15,73.77554565429688,224.10388000488283,118.67344039916992,147.6886006164551,21.3635897064209,33.4050796508789,85.99166397094727,75.75567749023438,72.66381439208985,78.32499984741212,185.7047427368164,41.33477409362793,67.01179000854492,84.90141235351562,40.92414482116699,144.51700073242188,205.27060607910155,126.32746841430664,172.83186614990234,54.59337532043457,87.80817657470703,78.7112606048584,118.3762126159668,106.04022171020507,80.71623443603515,35.143374633789065,69.89714706420898,16.119442768096924,47.95827980041504,49.230019912719726,45.93567253112793,25.048050727844238,36.960733528137204
2020-06-16,74.31987510681152,224.8853561401367,119.38212051391602,149.15360076904298,21.47127784729004,33.61422161102295,86.3377407836914,76.09502151489258,72.86641983032227,78.59399993896484,186.84249237060547,41.425868911743166,67.36556007385254,85.22398483276368,40.98358596801758,144.98691131591798,206.89827911376952,126.78833389282227,173.60883850097656,54.720504455566406,88.20018814086914,79.30424880981445,118.52092468261719,106.10972869873046,81.14975708007813,35.31907157897949,70.17764907836914,16.219384632110597,48.0705451965332,49.686139221191404,45.9812353515625,25.099804725646973,37.12259910583496
2020-06-17,74.75911003112793,225.42753784179686,120.02551040649413,150.0290005493164,21.53977108001709,33.78110015869141,86.60984329223633,76.30387008666992,72.96761947631836,78.73859985351562,187.7639175415039,41.42709991455078,67.63491004943847,85.40345077514648,40.989471435546875,145.34876495361328,208.29639556884766,127.1256170654297,174.17809692382812,54.792786865234376,88.48473937988281,79.8086001586914,118.54990844726562,106.12614593505859,81.45923110961914,35.47650520324707,70.35714447021485,16.298978939056397,48.092655944824216,49.965037155151364,45.99023246765137,25.088581848144532,37.23781211853027
2020-06-18,75.21385391235351,226.00773223876953,120.66789047241211,151.04320037841796,21.595419158935545,33.944249572753904,86.86661026000976,76.51064376831054,73.08060455322266,78.8613998413086,188.65587524414062,41.45787521362305,67.88647010803223,85.55210998535156,41.00549201965332,145.72642974853517,209.6371728515625,127.39728515625,174.82192657470702,54.89218231201172,88.76368865966796,80.3560548400879,118.60939758300782,106.25845703125,81.72627639770508,35.623745346069335,70.50506271362305,16.370278968811036,48.12072074890137,50.12467872619629,45.998627548217776,25.07667407989502,37.34528793334961
2020-06-19,75.6263899230957,226.34464904785156,121.29990051269532,151.84620056152343,21.631184654235838,34.0786536026001,87.13814544677734,76.6106150817871,73.03936477661132,78.9131999206543,189.2185888671875,41.43941032409668,68.10411018371582,85.61497650146484,40.98108024597168,146.00043365478516,210.92600524902343,127.57731994628907,175.4114877319336,54.93795440673828,88.96939361572265,80.87266708374024,118.60384216308594,106.3420053100586,81.83974166870117,35.75144775390625,70.58345092773438,16.417800941467284,48.05392265319824,50.19135459899903,45.981960220336916,25.038452186584472,37.39456756591797
